"Kläranlage","long","lat","Bundesland"
"Pirmasens-Blümelstal",7.58750256921509,49.2131665503169,"Rheinland-Pfalz"
"Pirmasens-Felsalbe",7.5721796265692,49.1697365890459,"Rheinland-Pfalz"
"Plauen",12.1691330330449,50.5251186715911,"Sachsen"
"Potsdam",13.0262081987397,52.4372278759306,"Brandenburg"
"Ratzeburg",10.7430415598514,53.7236166869595,"Schleswig-Holstein"
"Regensburg",12.187,49.006,"Bayern"
"Rollsdorf",11.7402207347981,51.4856000265324,"Sachsen-Anhalt"
"Rostock",12.0962860631194,54.1042239326681,"Mecklenburg-Vorpommern"
"Saalfeld",11.3606306691615,50.6639091076485,"Thüringen"
"Saarbrücken",6.92279042362439,49.2424759662372,"Saarland"
"Saarlouis",6.73745557101037,49.3280967337098,"Saarland"
"Schleswig",9.59249703884017,54.5256723463569,"Schleswig-Holstein"
"Schmalkalden",10.3578166857149,50.7153514635475,"Thüringen"
"Schwabmünchen",10.7269272323514,48.2008672799181,"Bayern"
"Schweinfurt",10.2128066684023,50.02228411208,"Bayern"
"Schwerin",11.3579520710899,53.5234890611285,"Mecklenburg-Vorpommern"
"Schwäbisch Hall",9.73320733766015,49.1266510736416,"Baden-Württemberg"
"Schönebeck",11.6968824523625,52.0288048650089,"Sachsen-Anhalt"
"Silstedt",10.8609940089291,51.8674866014636,"Sachsen-Anhalt"
"Speyer",8.45657130066822,49.3363794235716,"Rheinland-Pfalz"
"Stadtbergen",10.8541005449657,48.3686972656461,"Bayern"
"Starnberg",11.361542213344901,48.0138769650071,"Bayern"
"Stendal",11.9051742591898,52.6103343834125,"Sachsen-Anhalt"
"Straubing",12.622,48.901,"Bayern"
"Stuttgart",9.24139560614413,48.8467869302811,"Baden-Württemberg"
"Suhl",10.6080025312144,50.6025151888703,"Thüringen"
"Teisendorf",12.8333071334209,47.8538570533178,"Bayern"
"Trier",6.68658864213322,49.7740187639916,"Rheinland-Pfalz"
"Tübingen",9.24139560614413,48.8467869302811,"Baden-Württemberg"
"Waldbröl",7.59990061716502,50.8679642209816,"Nordrhein-Westfalen"
"Weiden",12.162,49.661,"Bayern"
"Weil am Rhein",7.582,47.615,"Baden-Württemberg"
"Weimar",11.3612495061384,50.993189459856,"Thüringen"
"Weißenfels",11.9848967657867,51.2152466608731,"Sachsen-Anhalt"
"Wellesweiler",7.2282652031512,49.342444126791,"Saarland"
"Wiesbaden-Biebrich",8.22233367267311,50.0430420303513,"Hessen"
"Wiesbaden-Stadt",8.25293369795964,50.0556189270754,"Hessen"
"Wolfsburg",10.8015145303616,52.4701356792934,"Niedersachsen"
"Worms",8.35195190594336,49.6744609744594,"Rheinland-Pfalz"
"Wuppertal",7.10640872272799,51.223498876855,"Nordrhein-Westfalen"
"Wustweiler",7.02688065854272,49.4013270527406,"Saarland"
"Zeitz",12.1955484473379,51.0762078775797,"Sachsen-Anhalt"
"Zittau",14.8316066164589,50.8939829141488,"Sachsen"
"Zusmarshausen",10.5941207626367,48.4247712567345,"Bayern"
"Zweibrücken",7.34040503793359,49.2531118741963,"Rheinland-Pfalz"
